First Name,Last Name,School,Email
Jeremiah,Roberts,ETH,over.baked.potatoes.420@gmail.com
Evelyn,Gonzalez,Har,over.baked.potatoes.420@gmail.com
Paisley,Henderson,Cph,over.baked.potatoes.420@gmail.com
Jordan,Anderson,Chi,over.baked.potatoes.420@gmail.com
Christian,Howard,UCLA,over.baked.potatoes.420@gmail.com
Anna,Rivera,Cam,over.baked.potatoes.420@gmail.com
Hazel,Williams,MIT,over.baked.potatoes.420@gmail.com
Daniel,Ward,Har,
Amelia,Cooper,Pek,
Christian,Ramirez,Har,
John,Torres,UWA,over.baked.potatoes.420@gmail.com
Paisley,Ward,LTU,over.baked.potatoes.420@gmail.com
Brooklyn,Henderson,Cal,over.baked.potatoes.420@gmail.com
Mia,Walker,Har,over.baked.potatoes.420@gmail.com
Emily,Adams,Cal,over.baked.potatoes.420@gmail.com
Savannah,Howard,Ber,over.baked.potatoes.420@gmail.com
Leah,Turner,UCD,over.baked.potatoes.420@gmail.com
Jonathan,Bailey,NUS,over.baked.potatoes.420@gmail.com
Gavin,Torres,UCL,over.baked.potatoes.420@gmail.com
Ellie,Richardson,UCD,over.baked.potatoes.420@gmail.com
Benjamin,Roberts,Syd,over.baked.potatoes.420@gmail.com
Sofia,Clark,Tsi,over.baked.potatoes.420@gmail.com
Jacob,Bennett,Mel,over.baked.potatoes.420@gmail.com
Lucas,Ross,Cal,over.baked.potatoes.420@gmail.com
Liam,Hughes,Tsi,over.baked.potatoes.420@gmail.com
Avery,King,LTU,over.baked.potatoes.420@gmail.com
Victoria,Cook,UCD,over.baked.potatoes.420@gmail.com
Isabella,Allen,UCD,over.baked.potatoes.420@gmail.com
Victoria,Powell,MIT,over.baked.potatoes.420@gmail.com
Elizabeth,Sanders,Tok,over.baked.potatoes.420@gmail.com
Liam,Parker,Tor,over.baked.potatoes.420@gmail.com
Wyatt,James,Edi,over.baked.potatoes.420@gmail.com
Ella,Perry,UWA,over.baked.potatoes.420@gmail.com
Hannah,Hughes,Cal,over.baked.potatoes.420@gmail.com
Abigail,Brooks,Tor,over.baked.potatoes.420@gmail.com
Emma,Martinez,Tor,over.baked.potatoes.420@gmail.com
Ella,Edwards,Tok,over.baked.potatoes.420@gmail.com
Isaac,Williams,CUB,over.baked.potatoes.420@gmail.com
Jordan,Johnson,Tor,over.baked.potatoes.420@gmail.com
Christian,Jackson,Edi,over.baked.potatoes.420@gmail.com
Charles,Evans,Pek,over.baked.potatoes.420@gmail.com
Riley,Johnson,MIT,over.baked.potatoes.420@gmail.com
Hunter,Bailey,Tsi,over.baked.potatoes.420@gmail.com
Mia,Gray,Col,over.baked.potatoes.420@gmail.com
Gavin,Turner,Yal,over.baked.potatoes.420@gmail.com
Hazel,Turner,UCD,over.baked.potatoes.420@gmail.com
Connor,Brown,Har,over.baked.potatoes.420@gmail.com
Layla,Reed,ICL,over.baked.potatoes.420@gmail.com
William,Henderson,ETH,over.baked.potatoes.420@gmail.com
Scarlett,Patterson,Tok,over.baked.potatoes.420@gmail.com
Avery,Ramirez,UWA,over.baked.potatoes.420@gmail.com
Amelia,Bennett,Tor,over.baked.potatoes.420@gmail.com
Ava,Nelson,Yal,over.baked.potatoes.420@gmail.com
Riley,Stewart,ETH,over.baked.potatoes.420@gmail.com
Lincoln,Martin,Yal,over.baked.potatoes.420@gmail.com
Anna,Allen,UCD,over.baked.potatoes.420@gmail.com
Ava,Mitchell,Tor,over.baked.potatoes.420@gmail.com
